"ProgramID","1","CurveVersion","K100"
"ProgramName",""
"DateTime","2020/09/29 09:53:43"
"XAxisUnit","mm"
"YAxisUnit","kN"
"Result","NOK","205,",""
"Tolerance Windows","-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,60000,0,50000,1,4,0,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"ProductSN","580181005"
"ComponentSN",""
"[NormalWindows0MinPositionPoint]","0,0"
"[NormalWindows0MaxPositionPoint]","0,0"
"[NormalWindows0MinForcePoint]","0,0","","","Index","BLANK","Position","Force","Analog","Time","Speed",""
"[NormalWindows0MaxForcePoint]","0,0","","","0","","0.000","0.000","0.000","0.000","0.000",""
"[NormalWindows1MinPositionPoint]","0,0","","","1","","0.064","0.000","0.000","0.289","1.200",""
"[NormalWindows1MaxPositionPoint]","0,0","","","2","","0.125","0.000","0.000","0.298","2.400",""
"[NormalWindows1MinForcePoint]","0,0","","","3","","0.193","0.000","0.000","0.308","3.800",""
"[NormalWindows1MaxForcePoint]","0,0","","","4","","0.268","0.000","0.000","0.318","5.300",""
"[NormalWindows2MinPositionPoint]","0,0","","","5","","0.346","0.000","0.000","0.328","6.400",""
"[NormalWindows2MaxPositionPoint]","0,0","","","6","","0.431","0.000","0.000","0.338","7.200",""
"[NormalWindows2MinForcePoint]","0,0","","","7","","0.520","0.000","0.000","0.348","7.800",""
"[NormalWindows2MaxForcePoint]","0,0","","","8","","0.616","0.000","0.000","0.358","8.400",""
"[NormalWindows3MinPositionPoint]","0,0","","","9","","0.666","0.000","0.000","0.363","8.600",""
"[NormalWindows3MaxPositionPoint]","0,0","","","10","","0.718","0.000","0.000","0.368","8.900",""
"[NormalWindows3MinForcePoint]","0,0","","","11","","0.771","0.000","0.000","0.373","9.200",""
"[NormalWindows3MaxForcePoint]","0,0","","","12","","0.823","0.000","0.000","0.378","9.400",""
"[UpLimitWindowMinPositionPoint]","0,0","","","13","","0.875","0.000","0.000","0.383","9.700",""
"[UpLimitWindowMaxPositionPoint]","0,0","","","14","","0.932","0.000","0.000","0.388","9.900",""
"[UpLimitWindowMinForcePoint]","0,0","","","15","","0.990","0.000","0.000","0.393","10.200",""
"[UpLimitWindowMaxForcePoint]","0,0","","","16","","1.056","0.000","0.000","0.398","10.600",""
"[LowLimitWindowMinPositionPoint]","0,0","","","17","","1.119","0.000","0.000","0.403","10.900",""
"[LowLimitWindowMaxPositionPoint]","0,0","","","18","","1.184","0.000","0.000","0.408","11.300",""
"[LowLimitWindowMinForcePoint]","0,0","","","19","","1.252","0.000","0.000","0.413","11.600",""
"[LowLimitWindowMaxForcePoint]","0,0","","","20","","1.320","0.000","0.000","0.418","11.900",""
"[XMax]","40.876","","","21","","1.392","0.000","0.000","0.423","12.300",""
"[YMax]","19.901","","","22","","1.466","0.000","0.000","0.428","12.800",""
"RelativeWin0Value","0","0","","23","","1.543","0.000","0.000","0.433","13.300",""
"RelativeWin1Value","0","0","","24","","1.620","0.000","0.000","0.438","13.700",""
