"ProgramID","1","CurveVersion","K100"
"ProgramName",""
"DateTime","2020/06/08 15:26:47"
"XAxisUnit","mm"
"YAxisUnit","kN"
"Result","NOK","205,",""
"Tolerance Windows","-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,60000,0,50000,1,4,0,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"ProductSN","580181005"
"ComponentSN",""
"[NormalWindows0MinPositionPoint]","0,0"
"[NormalWindows0MaxPositionPoint]","0,0"
"[NormalWindows0MinForcePoint]","0,0","","","Index","BLANK","Position","Force","Analog","Time","Speed",""
"[NormalWindows0MaxForcePoint]","0,0","","","0","","-0.001","0.000","0.000","0.000","0.000",""
"[NormalWindows1MinPositionPoint]","0,0","","","1","","0.067","0.000","0.000","0.289","1.300",""
"[NormalWindows1MaxPositionPoint]","0,0","","","2","","0.128","0.000","0.000","0.299","2.500",""
"[NormalWindows1MinForcePoint]","0,0","","","3","","0.195","0.000","0.000","0.309","3.800",""
"[NormalWindows1MaxForcePoint]","0,0","","","4","","0.269","0.000","0.000","0.319","5.300",""
"[NormalWindows2MinPositionPoint]","0,0","","","5","","0.345","0.000","0.000","0.329","6.400",""
"[NormalWindows2MaxPositionPoint]","0,0","","","6","","0.433","0.000","0.000","0.339","7.200",""
"[NormalWindows2MinForcePoint]","0,0","","","7","","0.524","0.000","0.000","0.349","7.800",""
"[NormalWindows2MaxForcePoint]","0,0","","","8","","0.619","0.000","0.000","0.359","8.400",""
"[NormalWindows3MinPositionPoint]","0,0","","","9","","0.721","0.000","0.000","0.369","8.900",""
"[NormalWindows3MaxPositionPoint]","0,0","","","10","","0.773","0.000","0.000","0.374","9.200",""
"[NormalWindows3MinForcePoint]","0,0","","","11","","0.828","0.000","0.000","0.379","9.500",""
"[NormalWindows3MaxForcePoint]","0,0","","","12","","0.883","0.000","0.000","0.384","9.800",""
"[UpLimitWindowMinPositionPoint]","0,0","","","13","","0.938","0.000","0.000","0.389","10.000",""
"[UpLimitWindowMaxPositionPoint]","0,0","","","14","","1.000","0.000","0.000","0.394","10.400",""
"[UpLimitWindowMinForcePoint]","0,0","","","15","","1.060","0.000","0.000","0.399","10.600",""
"[UpLimitWindowMaxForcePoint]","0,0","","","16","","1.118","0.000","0.000","0.404","10.800",""
"[LowLimitWindowMinPositionPoint]","0,0","","","17","","1.181","0.000","0.000","0.409","11.200",""
"[LowLimitWindowMaxPositionPoint]","0,0","","","18","","1.252","0.000","0.000","0.414","11.600",""
"[LowLimitWindowMinForcePoint]","0,0","","","19","","1.322","0.000","0.000","0.419","11.900",""
"[LowLimitWindowMaxForcePoint]","0,0","","","20","","1.394","0.000","0.000","0.424","12.300",""
"[XMax]","46.328","","","21","","1.468","0.000","0.000","0.429","12.700",""
"[YMax]","19.901","","","22","","1.549","0.000","0.000","0.434","13.200",""
"RelativeWin0Value","0","0","","23","","1.628","0.000","0.000","0.439","13.700",""
"RelativeWin1Value","0","0","","24","","1.712","0.000","0.000","0.444","14.100",""
"RelativeWin2Value","0","0","","25","","1.799","0.000","0.000","0.449","14.700",""
"RelativeWin3Value","0","0","","26","","1.889","0.000","0.000","0.454","15.400",""
"RelativeWin4Value","0","0","","27","","1.983","0.000","0.000","0.459","15.900",""
"RelativeWin5Value","0","0","","28","","2.083","0.000","0.000","0.464","16.500",""
"[SlopeWin0Value]","0,0","","","29","","2.182","0.000","0.000","0.469","17.100",""
"[SlopeWin1Value]","0,0","","","30","","2.296","0.000","0.000","0.474","17.900",""
"[SlopeWin2Value]","0,0","","","31","","2.411","0.000","0.000","0.479","18.800",""
"[SlopeWin3Value]","0,0","","","32","","2.529","0.000","0.000","0.484","19.500",""
"[MonitorAreaFrom]","0,0","","","33","","2.654","0.000","0.000","0.489","20.400",""
"[MonitorAreaTo]","0,0","","","34","","2.792","0.000","0.000","0.494","21.500",""
"[MeasureValue1]","0,0","","","35","","2.928","0.000","0.000","0.499","22.500",""
"[MeasureValue2]","0,0","","","36","","3.064","0.000","0.000","0.504","23.400",""
"[MeasureValue3]","0,0","","","37","","3.207","0.000","0.000","0.509","24.400",""
"[MeasureValue4]","0,0","","","38","","3.350","0.000","0.000","0.514","25.200",""
"[XMin]","-0.001","","","39","","3.490","0.000","0.000","0.519","26.100",""
"[YMin]","0","","","40","","3.634","0.000","0.000","0.523","26.700",""
"","","","","41","","3.778","0.000","0.000","0.528","27.200",""
"","","","","42","","3.924","0.000","0.000","0.533","27.800",""
"","","","","43","","4.068","0.000","0.000","0.538","28.200",""
"","","","","44","","4.211","0.000","0.000","0.543","28.300",""
"","","","","45","","4.359","0.000","0.000","0.548","28.500",""
"","","","","46","","4.513","0.000","0.000","0.553","28.900",""
"","","","","47","","4.656","0.000","0.000","0.558","28.900",""
"","","","","48","","4.805","0.000","0.000","0.563","29.000",""
"","","","","49","","4.956","0.000","0.000","0.568","29.200",""
"","","","","50","","5.106","0.000","0.000","0.573","29.300",""
"","","","","51","","5.250","0.000","0.000","0.578","29.300",""
"","","","","52","","5.391","0.000","0.000","0.583","29.200",""
"","","","","53","","5.544","0.000","0.000","0.588","29.400",""
"","","","","54","","5.688","0.000","0.000","0.593","29.400",""
"","","","","55","","5.849","0.000","0.000","0.598","29.700",""
"","","","","56","","6.000","0.000","0.000","0.603","29.600",""
"","","","","57","","6.148","0.000","0.000","0.608","29.700",""
"","","","","58","","6.300","0.000","0.000","0.613","29.800",""
"","","","","59","","6.449","0.000","0.000","0.618","29.700",""
"","","","","60","","6.600","0.000","0.000","0.623","29.800",""
"","","","","61","","6.748","0.000","0.000","0.628","29.800",""
"","","","","62","","6.900","0.000","0.000","0.633","30.100",""
"","","","","63","","7.049","0.000","0.000","0.638","30.000",""
"","","","","64","","7.200","0.000","0.000","0.643","30.100",""
"","","","","65","","7.351","0.000","0.000","0.648","29.900",""
"","","","","66","","7.502","0.000","0.000","0.653","29.900",""
"","","","","67","","7.647","0.000","0.000","0.658","29.900",""
"","","","","68","","7.799","0.000","0.000","0.663","29.900",""
