ProgramID,1,CurveVersion,K100,,,,,,,
ProgramName,,,,,,,,,,
DateTime,2020/6/8 11:36,,,,,,,,,
XAxisUnit,mm,,,,,,,,,
YAxisUnit,kN,,,,,,,,,
Result,OK,,,,,,,,,
Tolerance Windows,"-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,60000,0,50000,1,4,0,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,,,,,,,,
ProductSN,580181005,,,,,,,,,
ComponentSN,,,,,,,,,,
[NormalWindows0MinPositionPoint],"0,0",,,,,,,,,
[NormalWindows0MaxPositionPoint],"0,0",,,,,,,,,
[NormalWindows0MinForcePoint],"0,0",,,Index,BLANK,Position,Force,Analog,Time,Speed
[NormalWindows0MaxForcePoint],"0,0",,,0,,0,0,0,0,0
[NormalWindows1MinPositionPoint],"0,0",,,1,,0.066,0,0,0.288,1.2
[NormalWindows1MaxPositionPoint],"0,0",,,2,,0.126,0,0,0.298,2.4
[NormalWindows1MinForcePoint],"0,0",,,3,,0.193,0,0,0.308,3.7
